resource,category,mw_2030,mw_2035,mw_2040,mw_2045,gwh_2030,gwh_2035,gwh_2040,gwh_2045
DER Uncurtailable Uncurtailable DER (2023 Levels),Customer DER,623.7,623.7,623.7,623.7,1151.6,1151.6,1151.6,1151.6
DER Curt (Future) Curtailable DER (above 2023 Levels),Future Customer DER,106.6,170.9,217.3,251.3,196.9,315.6,402.1,464.0
DER Uncurt (Future) Uncurtailable DER (above 2023 Levels),Future Customer DER,39.9,53.8,63.0,70.6,73.6,99.3,118.8,130.3
KREP PV Kalaeloa Renewable Energy Park,Solar,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
KS2 PV Kalaeloa Solar 2,Solar,5.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0
KSEP PV Kapolei Sustainable Energy Park,Solar,1.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0
Waivers PV1 Waianae Solar,Solar,27.6,27.6,0.0,0.0,65.6,65.6,0.0,0.0
"Waivers PV2 Kawailoa Solar, Lanikuhana Solar, Waipio Solar",Solar,109.6,109.6,109.6,0.0,205.1,205.1,205.5,0.0
West Loch West Loch Solar,Solar,20.0,20.0,20.0,0.0,44.3,43.1,41.9,0.0
Kūpono Kūpono Solar,Planned S2 Solar,42.0,42.0,42.0,42.0,93.3,93.3,93.3,93.3
Mountain View Solar Mountain View Solar,Planned S2 Solar,19.5,19.5,19.5,19.5,28.9,29.0,29.0,29.0
Waiawa Phase 2 Solar Waiawa Phase 2 Solar,Planned S2 Solar,60.0,60.0,60.0,60.0,105.8,105.9,105.9,105.9
Hoʻohana Solar I Hoʻohana Solar I,Planned S1 Solar,52.0,52.0,52.0,52.0,114.5,114.5,114.5,114.5
Mililani Solar I Mililani Solar I,Planned S1 Solar,39.0,39.0,39.0,39.0,93.1,93.1,93.1,93.1
Waiawa Solar Waiawa Solar,Planned S1 Solar,36.0,36.0,36.0,36.0,87.9,87.9,87.9,87.9
West Oahu Solar West Oahu Solar,Planned S1 Solar,12.5,12.5,12.5,12.5,27.6,27.6,27.6,27.6
Mililani Tech Solar 1 Mililani Tech Solar 1,Planned CBRE Solar,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5
Makakilo Solar 1 Makakilo Solar 1,Planned CBRE Solar,3.0,3.0,3.0,3.0,5.5,5.5,5.6,5.5
KHLS Kalaeloa Home Lands Solar LLC,Planned CBRE Solar,1.7,1.7,1.7,1.7,3.2,3.2,3.2,3.2
Kaukonahua Solar Kaukonahua Solar,Planned CBRE Solar,6.0,6.0,6.0,6.0,12.9,12.9,12.9,12.9
Savio-Māʻili Solar Savio-Māʻili Solar,Planned CBRE Solar,8.1,8.1,8.1,8.1,17.3,17.3,17.3,17.3
Paired PV RFP3 Stage 3 RFP Proxy Solar Resource,Planned S3 Solar,470.0,470.0,470.0,470.0,966.1,829.5,793.2,723.1
"Paired PV-CREZ A 15 Future Solar Candidate Resource Zone A, 15 degree slope",Future Solar,84.0,84.0,84.0,84.0,172.0,144.3,139.5,127.7
"Paired PV-CREZ A 30 Future Solar Candidate Resource Zone A, 30 degree slope",Future Solar,276.0,276.0,276.0,276.0,565.7,469.6,450.1,420.3
"Paired PV-CREZ B 15 Future Solar Candidate Resource Zone B, 15 degree slope",Future Solar,272.0,272.0,439.0,439.0,556.7,456.2,728.9,635.7
"Paired PV-CREZ B 30 Future Solar Candidate Resource Zone B, 30 degree slope",Future Solar,0.0,0.0,263.0,1175.0,0.0,0.0,441.1,1749.6
"Paired PV-CREZ C 15 Future Solar Candidate Resource Zone C, 15 degree slope",Future Solar,435.0,435.0,435.0,435.0,891.8,737.6,736.4,623.5
"Paired PV-CREZ C 30 Future Solar Candidate Resource Zone C, 30 degree slope",Future Solar,0.0,0.0,86.0,194.0,0.0,0.0,146.5,291.1
Deferred Solar Difference in pre-Stage 3 procurement targets and actual procurements,Future Solar,165.9,165.9,165.9,165.9,347.9,347.9,348.0,347.9
