vintage,year,mw,source,provenance
IGP DER+BESS (units/scope unresolved),2009,58.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2010,58.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2011,58.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2012,131.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2013,319.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2014,465.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2015,572.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2016,665.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2017,785.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2018,801.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2019,875.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2020,937.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2021,986.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2022,1043.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2023,1086.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2024,1115.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2025,1141.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2026,1170.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2027,1200.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2028,1234.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2029,1263.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2030,1293.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2031,1323.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2032,1356.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2033,1380.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2034,1407.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2035,1433.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2036,1461.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2037,1481.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2038,1504.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2039,1526.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2040,1551.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2041,1568.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2042,1588.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2043,1608.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2044,1630.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2045,1643.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2046,1659.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2047,1674.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2048,1692.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2049,1701.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2050,1714.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
ACTUAL (Oahu),2006,0.2,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2007,1.0,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2008,6.0,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2009,26.9,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2010,52.4,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2011,104.9,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2012,216.4,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2013,290.7,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2014,334.4,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2015,394.1,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2016,440.9,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2017,476.2,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2018,505.0,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2019,551.8,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2020,595.8,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2021,640.2,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2022,668.4,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2023,721.7,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
ACTUAL (Oahu),2024,765.3,"oahu-grid der_points.parquet, permit/interconnection records",compiled records; year-end cumulative; HECO quarterly-PDF transcription claimed but not found on disk; HECO comms corroborate scale (+61 MW all-territories in 2024)
OURS conservative,2027,800.0,inputs_dgb/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS conservative,2030,850.0,inputs_dgb/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS conservative,2035,890.0,inputs_dgb/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS conservative,2040,930.0,inputs_dgb/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS conservative,2045,965.0,inputs_dgb/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS conservative,2050,1000.0,inputs_dgb/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS realistic,2027,820.0,inputs_dgs/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS realistic,2030,960.0,inputs_dgs/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS realistic,2035,1140.0,inputs_dgs/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS realistic,2040,1300.0,inputs_dgs/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS realistic,2045,1440.0,inputs_dgs/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS realistic,2050,1560.0,inputs_dgs/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS accelerated,2027,840.0,inputs_dga/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS accelerated,2030,1070.0,inputs_dga/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS accelerated,2035,1390.0,inputs_dga/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS accelerated,2040,1670.0,inputs_dga/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS accelerated,2045,1915.0,inputs_dga/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
OURS accelerated,2050,2120.0,inputs_dga/gen_build_predetermined.csv (this report),model input builds minus 30-yr retirements (operating capacity); accelerated = 2 x realistic - conservative (verified exact in inputs)
